(1042101W, 320825N)	(1044246W, 320718N)
(1042824W, 322246N)	(1042501W, 325057N)
(1043052W, 320953N)	(1040554W, 325206N)
(1042054W, 325145N)	(1041123W, 322420N)
(1040405W, 321228N)	(1044931W, 320948N)
(1045013W, 321219N)	(1042332W, 322307N)
(1041114W, 325544N)	(1034428W, 320044N)
(1041047W, 325413N)	(1044554W, 325728N)
(1042153W, 322225N)	(1043554W, 321017N)
(1042443W, 324614N)	(1041859W, 324010N)
(1043842W, 323045N)	(1043134W, 321525N)
(1042638W, 321031N)	(1041950W, 321345N)
(1044420W, 320201N)	(1040158W, 320454N)
(1044347W, 322020N)	(1041830W, 321601N)
(1035843W, 321049N)	(1034450W, 322748N)
(1043620W, 324146N)	(1035125W, 321207N)
(1042353W, 325023N)	(1043628W, 321842N)
(1043213W, 322101N)	(1045002W, 322000N)
(1040645W, 321356N)	(1042244W, 322755N)
(1042323W, 324654N)	(1035102W, 324737N)
(1041305W, 322304N)	(1041313W, 322527N)
(1042152W, 321716N)	(1044326W, 321439N)
(1041151W, 320700N)	(1041859W, 324010N)
(1043524W, 324657N)	(1041123W, 322420N)
(1044445W, 321127N)	(1041258W, 322637N)
(1040812W, 325611N)	(1042224W, 320810N)
(1040634W, 321353N)	(1041830W, 321601N)
(1034549W, 320830N)	(1044823W, 320450N)
(1042543W, 325036N)	(1042300W, 322607N)
(1044923W, 324659N)	(1043837W, 320906N)
(1042511W, 322842N)	(1043826W, 320408N)
(1035051W, 324529N)	(1035051W, 324529N)
(1043052W, 321427N)	(1042152W, 321716N)
(1044038W, 321049N)	(1042922W, 321035N)
(1042744W, 321754N)	(1035502W, 322150N)
(1043554W, 321017N)	(1041834W, 322927N)
(1042326W, 321738N)	(1044652W, 321758N)
(1044608W, 321247N)	(1035938W, 320844N)
(1044952W, 322610N)	(1040248W, 321430N)
(1041658W, 320223N)	(1044000W, 324350N)
(1031842W, 320219N)	(1044943W, 320500N)
(1043524W, 324657N)	(1042443W, 324614N)
(1041737W, 321549N)	(1044000W, 324350N)
(1042023W, 320252N)	(1042410W, 325018N)
(1044543W, 320600N)	(1044359W, 323338N)
(1042939W, 320852N)	(1035510W, 323408N)
(1044620W, 323926N)	(1041448W, 322640N)
(1041123W, 322420N)	(1041410W, 322520N)
(1043525W, 323542N)	(1042307W, 321348N)
(1042120W, 322309N)	(1042922W, 321035N)
(1043551W, 321610N)	(1041959W, 322406N)
(1040135W, 322122N)	(1043009W, 321021N)
(1042412W, 325032N)	(1041304W, 322431N)
(1042327W, 324859N)	(1042343W, 324810N)
(1042408W, 325048N)	(1041543W, 322149N)
(1042651W, 324848N)	(1042412W, 325032N)
